chr	start	end	length	nCG	meanMethy1	meanMethy2	diff.Methy	areaStat
chr6	32671760	32672042	283	21	0.612475484458415	0.251897651925722	0.360577832532693	53.5334177487782
chr6	152128984	152129236	253	19	0.518366608139525	0.204473051423877	0.313893556715647	52.6611276650826
chr6	158660836	158660963	128	13	0.383153861313762	0.893296887161328	-0.510143025847566	-46.7051040973012
chr11	64375171	64375354	184	16	0.692977287192782	0.353464006391597	0.339513280801184	46.4550193823701
chrX	123095210	123095500	291	15	0.209325798477822	0.600742463959085	-0.391416665481263	-45.1861051529005
chr15	68908816	68909084	269	16	0.626374268353041	0.250642969082411	0.37573129927063	45.1130676791648
chr1	228775455	228775629	175	19	0.74538628535759	0.369628892008864	0.375757393348727	44.6112468643829
chr3	197828710	197829077	368	12	0.867403210731881	0.370454101316112	0.49694910941577	44.1913379091387
chr10	77164946	77165149	204	15	0.637761718696788	0.285466981983212	0.352294736713576	44.0041776597616
chr20	62405839	62406125	287	14	0.613330043990895	0.212188329299105	0.401141714691789	43.3876671221737
chr9	40920383	40920533	151	7	0.156345758652099	0.934371663967561	-0.778025905315462	-43.2935109403183
chrY	9778774	9779007	234	16	0.53071220610756	0.902213375828604	-0.371501169721044	-43.1324456368532
chrX	14262008	14262095	88	17	0.245262595520108	0.60321810215675	-0.357955506636642	-42.9803122545688
chrX	39960467	39960785	319	13	0.803286058859308	0.422862323267322	0.380423735591987	41.9782714514012
chr8	145496902	145497085	184	14	0.867246535942254	0.467423916407278	0.399822619534976	41.8993134260123
chr8	12312908	12313191	284	13	0.568180501042451	0.958058907610447	-0.389878406567996	-41.317470279091
chrX	110339568	110339795	228	15	0.380468956038842	0.0941432599808256	0.286325696058017	41.2621802595043
chr8	128428712	128429049	338	15	0.892968154084704	0.581008254160236	0.311959899924468	40.8744762601154
chr15	20358375	20358542	168	15	0.869413108984292	0.53958856740057	0.329824541583722	40.1602403918208
chr1	78152937	78153223	287	15	0.331286980705686	0.690026291922153	-0.358739311216466	-39.9105993098053
chr20	32720741	32720889	149	14	0.432414422211877	0.122117155111367	0.31029726710051	39.7826297848931
chrY	4763385	4763463	79	9	0.93065572172263	0.264984078244539	0.665671643478091	39.3135681625153
chr8	22542765	22542955	191	11	0.881029469365855	0.342364389005837	0.538665080360018	39.0150845295475
chrX	49086730	49086972	243	12	0.756082941469752	0.36876840224706	0.387314539222692	38.8787753263636
chr5	177199531	177199738	208	15	0.226497452218823	0.637516685740506	-0.411019233521684	-38.7895700838905
chrX	47342587	47342755	169	13	0.6606513102695	0.267315994325121	0.393335315944379	38.6823786835441
chr2	188519730	188520305	576	10	0.469511280992355	0.908828971580849	-0.439317690588494	-38.1199278282016
chrX	153362569	153362642	74	14	0.355822303417302	0.698466193300747	-0.342643889883444	-38.103471120847
chr12	8286848	8287156	309	12	0.873937224270333	0.540658333894577	0.333278890375756	37.8029907888491
chr22	18927101	18927278	178	12	0.794095959067871	0.315812409037454	0.478283550030418	37.7555969547735
chrX	2611993	2612316	324	14	0.521805861133747	0.196527698891124	0.325278162242623	36.5227902499095
chr14	53300290	53300599	310	13	0.353564613499131	0.720275668333451	-0.36671105483432	-36.2199509336727
chrX	153685968	153686171	204	13	0.573078128822229	0.229468559856566	0.343609568965662	36.1904520421638
chrX	118180168	118180475	308	12	0.512434337524511	0.860429377702623	-0.347995040178112	-35.6626078267351
chr14	103812303	103812559	257	14	0.256316665351663	0.612172481205231	-0.355855815853568	-34.9371646351217
chr15	30579926	30580335	410	10	0.855970691857334	0.387464332295648	0.468506359561686	34.894053659006
chr8	104382871	104383022	152	12	0.853057923188945	0.529985376650494	0.32307254653845	34.8214589195321
chr16	33079177	33079447	271	9	0.743859210801547	0.241168231542654	0.502690979258893	34.0891082512946
chr17	9425736	9425985	250	11	0.299825083774656	0.69994528496025	-0.400120201185594	-33.6004843457234
chr1	148577643	148578424	782	9	0.866576029014397	0.337191087237608	0.529384941776789	33.4415410368643
chr22	23735382	23735694	313	12	0.650498599367854	0.263098032772604	0.38740056659525	33.2183419775181
chr1	248330310	248331183	874	6	0.10693593739249	0.795475226011296	-0.688539288618806	-33.1285504113645
chr14	105942119	105942342	224	9	0.374497672425234	0.812064125323264	-0.437566452898029	-32.0733089980696
chr9	41890037	41890248	212	13	0.569697731887061	0.182485718839285	0.387212013047776	31.9643682904472
chr16	70879687	70880194	508	5	0.137911788452139	0.879720354600519	-0.74180856614838	-31.5608298387248
chr4	15792596	15792656	61	9	0.556817207281354	0.941277647205806	-0.384460439924453	-31.4839408627487
chr1	17086702	17086765	64	11	0.813708647023134	0.514476822497026	0.299231824526108	31.4098702673198
chr10	59504293	59505258	966	9	0.77924945138408	0.370491177665619	0.408758273718461	31.39077224854
chr8	143082032	143082223	192	11	0.263898122316366	0.657925538738574	-0.394027416422208	-31.0719552990955
chr7	154395046	154395258	213	7	0.92203114142855	0.345924869866706	0.576106271561844	31.0455514953769
chrX	140145971	140146237	267	12	0.79135444347003	0.40512102259154	0.38623342087849	30.9756032623271
chr20	18609574	18609785	212	9	0.485550395761345	0.893559709693773	-0.408009313932428	-30.8902689597099
chr15	90437972	90438138	167	11	0.106064298629402	0.416491414116611	-0.310427115487209	-30.5838378029751
chr21	14787312	14787619	308	6	0.0837465788465831	0.680824014919008	-0.597077436072425	-30.187299101966
chr9	70578822	70579054	233	12	0.871095982016757	0.533695182404835	0.337400799611922	30.1698925504679
chr5	144793737	144794775	1039	5	0.245697963803713	0.882034857308013	-0.6363368935043	-29.7769192035254
chrX	112876931	112877077	147	7	0.173420811967574	0.765069685392881	-0.591648873425308	-29.7243936841581
chr1	210439844	210440029	186	9	0.746141166160869	0.363177630977049	0.38296353518382	29.6917498118251
chr2	223155838	223155910	73	12	0.679254820707911	0.373296377362222	0.305958443345688	29.4881953851412
chr10	111115516	111116020	505	8	0.889023420873362	0.488710275138218	0.400313145735144	29.3549847910598
chr1	10359022	10359311	290	10	0.433698584609876	0.83935896888546	-0.405660384275584	-29.3275753830423
chr14	101276570	101276789	220	11	0.773959935365926	0.439661958154508	0.334297977211418	29.2986100026146
chr9	129437944	129438110	167	11	0.72044409677414	0.4166104383095	0.30383365846464	29.1381789974949
chr6	170486069	170486309	241	11	0.625399657811101	0.947564288741394	-0.322164630930293	-28.8737883374438
chr6	167584009	167584201	193	8	0.347498233429968	0.846593345186091	-0.499095111756122	-28.8610115000353
chr11	75460605	75460730	126	8	0.687851211267325	0.149430194030603	0.538421017236722	28.2012554629297
chr10	37468020	37470768	2749	9	0.224001785600125	0.726110853195624	-0.502109067595499	-28.1742458468777
chr15	32451621	32451837	217	10	0.922374923631579	0.547486904207937	0.374888019423643	28.0299900534043
chrX	148668354	148673015	4662	7	0.385871077775457	0.920389913770044	-0.534518835994587	-27.9777401693449
chr1	121416726	121416866	141	6	0.290211602632332	0.946394694983807	-0.656183092351475	-27.7866544377663
chr10	133972460	133972827	368	10	0.956824639443857	0.620770670871388	0.336053968572469	27.7761946948632
chr2	61922092	61922220	129	9	0.416728001084679	0.0790787714508994	0.337649229633779	27.7613199479888
chr4	64117634	64119224	1591	9	0.439566617727676	0.862754353091695	-0.423187735364019	-27.7073937920503
chr8	142750652	142750945	294	10	0.257177252992204	0.660508027343998	-0.403330774351794	-27.5451935011813
chr11	2720672	2720756	85	10	0.561388458616428	0.255309550421438	0.306078908194991	27.4350349528754
chr11	89635886	89636224	339	7	0.560670291062869	0.956701162544932	-0.396030871482063	-27.3546322934312
chr1	13481997	13482194	198	8	0.898115674506352	0.393235930703453	0.504879743802899	27.0406135829937
chr4	190994214	190994281	68	10	0.252211460263692	0.620867035734378	-0.368655575470686	-26.7097873523395
chr17	27481141	27481333	193	10	0.348087966597376	0.74066940776167	-0.392581441164294	-26.6471351231439
chr5	180610124	180610213	90	10	0.642265515861497	0.311167485869837	0.33109802999166	26.3919401397106
chrX	8364776	8366004	1229	9	0.765777752744264	0.390739391665055	0.375038361079209	26.3495991222507
chr7	1027687	1028007	321	9	0.249777845797583	0.66845622494351	-0.418678379145926	-26.2378627825824
chrX	139841222	139841390	169	7	0.287557465251368	0.804426872917606	-0.516869407666238	-26.2007014727322
chr11	38223366	38225431	2066	8	0.315715926463457	0.718384382888698	-0.402668456425241	-26.1201846314079
chr4	54104639	54104747	109	10	0.932546091159825	0.627054149311552	0.305491941848273	26.0848912321174
chr6	31132413	31132637	225	8	0.913433441940379	0.547912474175985	0.365520967764394	25.9934024784435
chrX	118749315	118749649	335	7	0.957516649390939	0.589815038647881	0.367701610743057	25.8814780559254
chr16	32140107	32140972	866	7	0.82692064502755	0.316443399115371	0.510477245912179	25.8192091978244
chrX	30832591	30832725	135	7	0.437613551209152	0.899846756014452	-0.4622332048053	-25.8086022299201
chr9	67670322	67670508	187	7	0.959225535744579	0.504587759717228	0.454637776027351	25.6433371890243
chr1	147850429	147851552	1124	9	0.457643914548974	0.883205201225298	-0.425561286676324	-25.5804002251707
chr9	40170678	40170772	95	6	0.285397419159567	0.933543309813796	-0.648145890654229	-25.5038627636428
chr16	32758385	32758561	177	10	0.466069743817475	0.86755836840403	-0.401488624586555	-25.4684954665547
chr14	105700242	105700489	248	7	0.925977125797599	0.367427661328159	0.55854946446944	25.219000927772
chr8	39395805	39398542	2738	7	0.302583327592271	0.781617495212018	-0.479034167619747	-25.1408055406636
chr13	101002383	101002667	285	8	0.724662497334515	0.291786917725165	0.43287557960935	25.0925097692521
chr11	119398683	119398789	107	5	0.151854995023401	0.802413546628879	-0.650558551605478	-25.0328148699741
chr1	58739304	58739510	207	8	0.961713320984716	0.596168823864488	0.365544497120228	25.0224802022255
chr10	106086058	106086221	164	8	0.548018318570642	0.910448337865941	-0.362430019295299	-24.964090465151
chr16	83671816	83671941	126	6	0.285397419256447	0.908845368245464	-0.623447948989017	-24.924305853159
chr1	25631218	25631630	413	8	0.470562100731978	0.860519325709175	-0.389957224977197	-24.8443125047909
chr11	63938774	63938860	87	10	0.496452101276834	0.854899645988443	-0.358447544711609	-24.8279270942658
chr11	5917403	5917575	173	7	0.375109241147787	0.894227492597472	-0.519118251449685	-24.7348486518024
chr2	149410075	149410358	284	6	0.871822558854587	0.35190471612904	0.519917842725547	24.6939511486413
chrX	56809562	56809751	190	9	0.371669400152719	0.690210517861064	-0.318541117708344	-24.5407324737665
chrX	140596193	140596362	170	10	0.930655722072795	0.598241587728039	0.332414134344757	24.5258138741462
chrX	144982271	144982650	380	6	0.92949279842492	0.453357729683874	0.476135068741047	24.4805865615793
chr13	114965737	114965839	103	9	0.624364551502133	0.285161225525495	0.339203325976637	24.4445577983589
chr4	68835877	68836384	508	5	0.24405423648388	0.94125109383587	-0.69719685735199	-24.3934466058282
chr5	83105370	83105519	150	5	0.284161192573546	0.906494062744801	-0.622332870171255	-24.2940222080195
chrX	134289106	134289221	116	7	0.469382314129224	0.908380113487529	-0.438997799358305	-24.038666135966
chr22	24197691	24197785	95	9	0.425356923055494	0.899209654041537	-0.473852730986044	-24.0383659746658
chr17	2959823	2960242	420	7	0.345699042348435	0.809395253519934	-0.463696211171499	-24.0170861665872
chr3	156318136	156318318	183	8	0.511036419756835	0.913742101932906	-0.402705682176071	-23.9844977256069
chrX	19855647	19855885	239	8	0.895316506949262	0.49202678856513	0.403289718384132	23.9752643712834
chr14	93701298	93701458	161	9	0.294343507810714	0.664397880622506	-0.370054372811793	-23.9620184805348
chr12	121647538	121647608	71	6	0.258439030760173	0.638497594982728	-0.380058564222554	-23.8178077909391
chr9	22541021	22541557	537	8	0.896429107513841	0.549136995148995	0.347292112364846	23.7330814984847
chr16	18468381	18468555	175	9	0.485458143455835	0.869513969864699	-0.384055826408864	-23.694340592373
chr15	34255052	34255186	135	8	0.587708098017816	0.959400795258375	-0.371692697240559	-23.5404241192849
chrX	1894000	1894118	119	9	0.59017709221353	0.886485512223278	-0.296308420009747	-23.4025336197948
chr12	86605221	86605296	76	8	0.853239684313066	0.491157929927047	0.362081754386019	23.2652367066018
chr12	55622541	55622756	216	5	0.921337448967853	0.346792714950193	0.57454473401766	23.2356657350869
chr11	5877186	5877328	143	4	0.794618576479055	0.0891322892627056	0.705486287216349	23.1895864197837
chr2	60053704	60054116	413	6	0.875211391629753	0.440268163410307	0.434943228219445	23.1172523003615
chr4	106631470	106631637	168	8	0.433160797313361	0.798814772324434	-0.365653975011073	-22.8805998006519
chrX	38238948	38239251	304	8	0.50964818146343	0.866852212291453	-0.357204030828023	-22.8022755324967
chrY	21198377	21198472	96	5	0.888043162252228	0.299460793523893	0.588582368728335	22.7166906784063
chr12	30317949	30318487	539	6	0.825687244857755	0.31736115354979	0.508326091307965	22.680823465216
chr6	165378591	165379543	953	5	0.425217267531032	0.969858843943962	-0.54464157641293	-22.6148539195948
chr14	19828246	19828329	84	8	0.295010297508799	0.726135765851916	-0.431125468343117	-22.6124874636534
chr5	155493997	155494325	329	8	0.795631788598947	0.393697356240007	0.40193443235894	22.5655153614076
chr11	119999621	119999776	156	8	0.612861839551251	0.246879660098728	0.365982179452523	22.5251392573213
chr6	120713630	120714030	401	4	0.355441066336531	0.951570238804478	-0.596129172467946	-22.5045780340359
chr3	5537646	5538266	621	7	0.682891629011706	0.239225520256181	0.443666108755525	22.5041643515569
chr1	23879634	23879851	218	7	0.778156929781414	0.427702537324605	0.350454392456809	22.5013964271785
chrX	140681493	140681676	184	6	0.250395904457833	0.797165631761677	-0.546769727303844	-22.4593255880268
chr15	32632980	32633085	106	7	0.563622765915697	0.931230462886291	-0.367607696970594	-22.378324552172
chrX	53158367	53158562	196	7	0.600948169227111	0.976657956429881	-0.37570978720277	-22.3606714473699
chr19	1519576	1519700	125	9	0.880270430981501	0.552836105519293	0.327434325462208	22.3472784859784
chr2	165091726	165091788	63	4	0.965376524502752	0.185912874932989	0.779463649569764	22.2335841040092
chr8	7944890	7945033	144	5	0.26874300566977	0.850347254380078	-0.581604248710308	-22.2275011018067
chr13	108711216	108711466	251	4	0.0928486080540231	0.802326978626419	-0.709478370572396	-22.1903131141854
chr22	19974866	19975019	154	7	0.464703313588017	0.14677590665545	0.317927406932567	22.0932264116107
chr17	18403669	18403791	123	7	0.399178592212533	0.809390571184903	-0.41021197897237	-22.0479652429724
chrX	291728	291835	108	8	0.167322349353849	0.473605069845753	-0.306282720491904	-22.0004843049026
chr16	28352773	28352897	125	8	0.842765752045652	0.417512436558967	0.425253315486685	21.9797268840683
chr15	23259835	23260161	327	6	0.488504774649954	0.931608586445317	-0.443103811795363	-21.841200720436
chrX	151855468	151855654	187	6	0.327685818210898	0.924493653519634	-0.596807835308736	-21.8098485927924
chr3	43092260	43093295	1036	6	0.923218626521574	0.48873430938681	0.434484317134764	21.8018758332038
chr17	50241443	50241637	195	6	0.266777102474805	0.766837280278376	-0.500060177803572	-21.8000382555426
chr2	16263528	16263694	167	7	0.786717069723921	0.403779604640018	0.382937465083903	21.508046126589
chr3	187134800	187135114	315	4	0.879969884576987	0.255833031139587	0.6241368534374	21.4684901141533
chr7	61057733	61057946	214	6	0.209366337991455	0.679762070462821	-0.470395732471366	-21.3716026408421
chr12	133027552	133027696	145	7	0.279510084889715	0.667766537634814	-0.388256452745099	-21.3372826070714
chr19	8007830	8007912	83	7	0.620149294407489	0.279630213285485	0.340519081122003	21.3182520122357
chr15	30396752	30396826	75	6	0.375066543100035	0.862607398380373	-0.487540855280339	-21.2974549588149
chr5	170873146	170873312	167	7	0.531795660324648	0.912249879249751	-0.380454218925103	-21.2913501526607
chr10	52457729	52458029	301	5	0.394387725132137	0.942106998071882	-0.547719272939745	-21.2788175359675
chr11	3292381	3292632	252	8	0.457125395980781	0.837634244265514	-0.380508848284733	-21.2391738201764
chr16	90261973	90263855	1883	4	0.957149090294613	0.316147821615696	0.641001268678917	21.2385066072015
chr4	11858897	11859050	154	4	0.135408733293762	0.735204228099675	-0.599795494805913	-21.2231936094165
chrX	89297904	89299147	1244	7	0.638826424119982	0.214878047418998	0.423948376700985	21.2158636078092
chrX	121954926	121955492	567	5	0.246357241238872	0.794409195704809	-0.548051954465937	-21.2056842265689
chr11	23607611	23608426	816	6	0.673283046897825	0.166574840261029	0.506708206636795	21.1908142611825
chrX	154410655	154411304	650	7	0.744812330164333	0.348238224577682	0.396574105586651	21.1633633754938
chrX	120983272	120983522	251	8	0.703571241373836	0.332259498665041	0.371311742708795	21.1387196094562
chrX	153912170	153914077	1908	6	0.973605127114091	0.592536601126146	0.381068525987944	21.0556467672776
chr16	90242151	90242282	132	8	0.545267123960178	0.93437166395113	-0.389104539990952	-21.0351623364821
chr7	154452895	154453212	318	8	0.510459553699462	0.884080088953177	-0.373620535253715	-21.0316771239797
chr12	38872189	38873230	1042	5	0.794516173243043	0.318641642857304	0.47587453038574	20.9945558029359
chr22	20445619	20445752	134	7	0.896214951557669	0.413687079723582	0.482527871834088	20.9932097193003
chr8	2428992	2429224	233	8	0.63927786489339	0.925271606643518	-0.285993741750128	-20.989227759613
chr7	62759081	62759246	166	4	0.948021798451935	0.267269036474141	0.680752761977794	20.9853240466305
chr13	84955403	84956281	879	7	0.182303722658447	0.607521637222606	-0.42521791456416	-20.984837786563
chr18	43986143	43986347	205	7	0.496812689100378	0.869025440863128	-0.37221275176275	-20.9683980279937
chrY	3107770	3107913	144	6	0.94378405414216	0.429085286712898	0.514698767429262	20.9548954389847
chr9	23166483	23167411	929	5	0.329276682116759	0.907296870545466	-0.578020188428707	-20.9481658063927
chr15	23350788	23352018	1231	6	0.804464322448296	0.282064798030361	0.522399524417935	20.9310603533263
chr2	241436516	241436692	177	7	0.633294508515407	0.982899058730162	-0.349604550214756	-20.9270708048914
chr20	57414407	57414615	209	8	0.688413533084535	0.374252761537959	0.314160771546576	20.919951367389
chrX	77970793	77973445	2653	7	0.314822649296758	0.742367939944113	-0.427545290647355	-20.9189808660495
chr9	67745589	67745694	106	6	0.773792799759571	0.26271531500009	0.511077484759482	20.8416014619756
chr16	90240700	90240988	289	7	0.535638362839606	0.959657764819588	-0.424019401979982	-20.8202708726792
chr2	165158601	165158724	124	6	0.491343386954732	0.93166865725829	-0.440325270303558	-20.7952333056538
chr4	128387715	128388303	589	4	0.446888718312539	0.968480416050674	-0.521591697738135	-20.7948239392828
chr2	111094293	111094469	177	5	0.161134619057649	0.776361699426872	-0.615227080369223	-20.7361294506276
chr16	16719901	16719987	87	8	0.490517250287154	0.92354757253902	-0.433030322251866	-20.7259347826185
chr3	88825268	88825375	108	4	0.312480975592555	0.951570238804478	-0.639089263211923	-20.6487350077209
chr1	245676402	245676565	164	6	0.720802714028464	0.260115174413244	0.460687539615219	20.586167619493
chr1	218685232	218685439	208	7	0.590875576015967	0.898575185602841	-0.307699609586873	-20.5183397103929
chr4	182594515	182594960	446	7	0.438909057395379	0.828261622463584	-0.389352565068206	-20.460803232661
chr2	88025324	88025505	182	6	0.652072602229659	0.134754629046487	0.517317973183172	20.4533939917583
chr10	26397020	26397188	169	4	0.968162449918332	0.355744294514872	0.61241815540346	20.4266058324758
chr10	29105914	29106069	156	7	0.87846070454307	0.438771896651783	0.439688807891287	20.3981463918008
chr19	23602090	23602144	55	8	0.610758387576056	0.905857073035524	-0.295098685459468	-20.3716375668449
chr7	21356695	21356856	162	4	0.0801057377305524	0.678300926588863	-0.598195188858311	-20.3444729426359
chr2	107340852	107341324	473	8	0.525277307630099	0.85065307155118	-0.325375763921081	-20.3335636332633
chr2	108452690	108452855	166	6	0.513140004304952	0.932792960845146	-0.419652956540194	-20.3033797172434
chr4	60618182	60618464	283	4	0.664700843757475	0.0969434822542101	0.567757361503265	20.2986537055114
chr2	219266319	219266460	142	8	0.661069303245022	0.315093320583922	0.3459759826611	20.2914441044367
chr2	186019199	186023894	4696	6	0.346442202189336	0.792831119455775	-0.446388917266439	-20.2851408822435
chr15	21220716	21220900	185	8	0.698185720275127	0.309293191098449	0.388892529176678	20.284509686312
chr7	3575711	3575837	127	7	0.548205528762013	0.889544490845721	-0.341338962083708	-20.2395461508356
chr9	17557902	17558339	438	7	0.291433324094558	0.710175209480736	-0.418741885386179	-20.1688098748688
chr2	23354742	23355071	330	7	0.81201183223881	0.438148277254105	0.373863554984705	20.1488448787412
chr14	45156341	45156795	455	6	0.665672745174464	0.238128298789885	0.427544446384579	20.1466052414748
chr1	121455976	121456147	172	6	0.912219770563757	0.430525279625598	0.481694490938159	20.1419373397236
chr2	208997146	208997280	135	6	0.483069465481791	0.819354136428379	-0.336284670946588	-20.1115533481755
chr14	84820056	84822316	2261	4	0.367944977740644	0.95362292979132	-0.585677952050676	-20.1111973601231
chr11	128015423	128016002	580	7	0.522191872196535	0.876799962901957	-0.354608090705422	-20.0493975040565
chr9	31202242	31203920	1679	7	0.491456422034417	0.837119083516529	-0.345662661482112	-20.0314969479905
chr5	30475564	30476014	451	5	0.812966534595398	0.333338078572133	0.479628456023266	20.0294559726939
chr3	183876624	183876854	231	7	0.935298703563488	0.582099724510026	0.353198979053462	19.9772923607171
chr18	13232809	13232895	87	8	0.752899394575704	0.43917429476469	0.313725099811014	19.9375921105913
chr19	41081789	41082033	245	7	0.132354558277723	0.512028602319552	-0.379674044041829	-19.9340808508387
chr5	19139671	19139913	243	5	0.871634946903834	0.38755386556621	0.484081081337624	19.9260496288983
chr15	22826020	22827001	982	4	0.896266775289685	0.1247773194075	0.771489455882185	19.9092523950702
chr8	115108888	115110005	1118	6	0.709371998450675	0.28359796546291	0.425774032987765	19.9004672894901
chr2	115720706	115721024	319	6	0.184682165230914	0.585748086126403	-0.40106592089549	-19.8674396628629
chr4	66249746	66249922	177	4	0.447730804018363	0.983368750127675	-0.535637946109313	-19.8334032343795
chr17	39211318	39211369	52	7	0.758009318640533	0.417667260536539	0.340342058103994	19.8325492112271
chr2	97744039	97744118	80	4	0.278457195472213	0.912357700417287	-0.633900504945074	-19.8117843818667
chr8	23268690	23268841	152	4	0.945793107200275	0.331863779248683	0.613929327951591	19.7965885474044
chr1	149799064	149799161	98	5	0.899541231848211	0.217820836690717	0.681720395157495	19.7769092496367
chr7	113134943	113135100	158	7	0.887549355989278	0.394162242724011	0.493387113265266	19.7769047213914
chr7	4638159	4638385	227	7	0.929917078157818	0.525859899366983	0.404057178790835	19.7375304600316
chr3	193874116	193874331	216	7	0.976781770586284	0.698507316590683	0.278274453995601	19.727852651792
chr12	11453311	11453874	564	5	0.398901530010499	0.941251093975333	-0.542349563964834	-19.7108240986877
chr14	20154221	20154303	83	4	0.962713401600353	0.306277649432468	0.656435752167884	19.6799378774841
chr10	49320790	49323295	2506	8	0.882563712483706	0.58478490635237	0.297778806131335	19.6586767157896
chrY	13533271	13533507	237	4	0.811113207105931	0.124752884608034	0.686360322497897	19.6308012244358
chrX	129949391	129949614	224	4	0.892471386667181	0.374100852448814	0.518370534218367	19.5534412036694
chr1	149604170	149604742	573	5	0.361731841333028	0.945483732960177	-0.583751891627149	-19.5307046974032
chr4	16364014	16364212	199	7	0.633912532205931	0.947271781767812	-0.313359249561881	-19.5301799537628
chr5	100485961	100486530	570	8	0.5509194009474	0.835689329272322	-0.284769928324922	-19.5090780366226
chr22	41900550	41900618	69	6	0.930117106076317	0.562221328350716	0.367895777725601	19.452280906829
chr5	164988089	164988212	124	5	0.237152274777595	0.795021628385436	-0.557869353607841	-19.3675494882803
chr2	118344357	118345196	840	6	0.396823625513001	0.873493159985884	-0.476669534472883	-19.336713966465
chr11	21332962	21333846	885	4	0.260888199688679	0.852539753278459	-0.591651553589779	-19.3314685958214
chr16	18434594	18434681	88	7	0.893588290973365	0.556913850195014	0.336674440778351	19.3268135069572
chr14	20609650	20609749	100	4	0.0877401002468325	0.785327423683028	-0.697587323436196	-19.3031482238655
chrX	40008380	40008497	118	7	0.690046889394091	0.361315106200491	0.328731783193601	19.2892451756242
chr4	180289700	180290048	349	5	0.849930887822739	0.282328251321671	0.567602636501068	19.2600943839241
chr1	245980811	245981069	259	6	0.952946311848224	0.524656231574105	0.428290080274119	19.2538234046796
chr17	14188018	14188963	946	6	0.871913434844601	0.526968008560755	0.344945426283846	19.1730077583355
chr4	65222467	65225828	3362	6	0.37525834739956	0.821382980356656	-0.446124632957095	-19.1553551777664
chr6	160636882	160637197	316	4	0.980256399167933	0.511862836747775	0.468393562420158	19.1514729522812
chr11	8095462	8095690	229	4	0.880101366897611	0.307029346284021	0.57307202061359	19.1477116290408
chr2	1123140	1123483	344	4	0.87541681490238	0.215099114153246	0.660317700749134	19.1330515022228
chr15	58382479	58383235	757	4	0.977414829613584	0.446331177461663	0.531083652151922	19.1294238043075
chr1	182343658	182344089	432	7	0.688698939167576	0.301825259714301	0.386873679453275	19.1254105498033
chr14	101733301	101733605	305	6	0.844791848154321	0.338665250482651	0.50612659767167	19.1127993476031
chr4	135761215	135761392	178	5	0.567046296826004	0.982001416220996	-0.414955119394992	-19.1118529165947
chr11	29747484	29748013	530	7	0.821115772478544	0.481942468789503	0.339173303689041	19.1046865124729
chr8	126839552	126839802	251	4	0.336747589912535	0.890828440330149	-0.554080850417614	-19.1035053361807
chr13	56825124	56825218	95	4	0.135188018592366	0.807948146364941	-0.672760127772575	-19.1034926675487
chr11	124306322	124306422	101	4	0.328363167331062	0.935737468408658	-0.607374301077595	-19.1012103194378
chr4	118129237	118130463	1227	4	0.385727971076371	0.92735215171777	-0.541624180641399	-19.0783015357419
chr6	158771095	158771177	83	7	0.589599153359602	0.883610167871841	-0.294011014512239	-19.0553038812025
chr17	51521789	51522198	410	5	0.563468571714349	0.956362907876978	-0.392894336162629	-19.0450231088124
chr20	20961904	20962200	297	5	0.843042667122759	0.348524898256404	0.494517768866354	19.0254383059848
chr14	47981770	47982099	330	4	0.975808168922132	0.503281747148121	0.472526421774011	19.0196905258619
chr6	136773753	136773942	190	6	0.954944641105259	0.627090081288404	0.327854559816855	19.018317195912
