gene	log2(Fold_change)	p-value
ITPRIP	-0.7323530369264648	7.197908935552278e-13
LOC101927472	-0.7323530369264648	7.197908935552278e-13
CDH13	-1.671062564774918	7.490008613331157e-13
RSRP1	-0.8708224629727674	8.11373190856557e-13
RHD	-0.8708224629727674	8.11373190856557e-13
EPC2	1.3088496858324645	9.43023437116608e-13
LINC01420	-0.8930165438133055	1.0991763055301362e-12
SPANXA2-OT1	0.6375193643777809	1.1156964241365587e-12
SH3KBP1	0.8636609197659781	1.9348411761654916e-12
AVEN	-0.7070338580774813	2.9887758934421527e-12
MGAT4C	0.7967640750828641	3.935551884381994e-12
GSTCD	-0.8829583329947984	5.7816529341891965e-12
OTC	-0.7662843780196475	6.252698359077158e-12
TTTY14	1.568262666115515	6.811406993989522e-12
CD24	1.568262666115515	6.811406993989522e-12
TRIM29	1.3117538960193205	8.249478877786487e-12
KANTR	-0.7006128260525736	9.724199223626329e-12
ARVCF	1.6626947636437408	1.2705847485250388e-11
GOLGA8IP	-0.9313512734578666	1.634771207292829e-11
FAM198A	0.9176219455299571	1.700339868904166e-11
TIMM44	1.1490953225221576	2.7578506145431448e-11
ULK4P3	-1.2015575131488907	2.8158064768746273e-11
FGF18	-0.7785570505992229	2.8330493506700807e-11
GAB3	0.7164324930883585	3.586070329575364e-11
FAM157C	-0.7770333502497321	3.660286518325507e-11
LOC101927859	1.115304895158639	3.8171121818919576e-11
LOC101927815	-0.5334337791258512	3.832341111120741e-11
ZNF733P	1.8266275234457512	3.84733134239923e-11
LINC00333	-1.736591770382939	3.8492020681957234e-11
RNF165	-0.8066963908684583	3.913005475197906e-11
HERC2P2	1.5120018122633225	4.06186972945477e-11
ANKMY1	-0.6341666935847401	4.078106741189913e-11
GNAS-AS1	0.8792624969950281	4.1072445444712004e-11
KIF26B	1.4704538786726182	5.734703822923848e-11
MIR548F3	-0.6047848559989906	6.137171881803738e-11
MYO3A	1.4444085217456477	6.726789125721667e-11
RGPD4	-0.8622043993733226	7.608941254844126e-11
CTDSP1	1.069022352574018	7.700302617763556e-11
SDK1	-0.6983498860362584	8.11048450621854e-11
LOC100507443	-0.7622564760267886	9.217928642613061e-11
DVL3	0.6841608530091063	1.0542464679019759e-10
LDLRAD4	0.7776634844239871	1.0969423147599855e-10
SPTBN4	-1.9518165205918916	1.1008006728374654e-10
DPP10	-1.6652357833434341	1.1766588814410285e-10
EPHA5	-1.1351009298432482	1.2173975161289263e-10
KRTAP2-2	0.8598615242208847	1.2184376840806977e-10
ENOX2	1.2543786626437499	1.6107137845722264e-10
LINC00623	-1.3861320404659567	1.6477553765881226e-10
LINC00869	-1.3861320404659567	1.6477553765881226e-10
LOC103091866	-1.3861320404659567	1.6477553765881226e-10
ACO2	0.7262741850460637	1.7821807363205269e-10
NELL1	-1.7083354168096658	2.0110361154124235e-10
SMYD3	0.8610224952908441	2.1734054556077355e-10
TECRL	-1.1301708898535203	2.398307996642757e-10
TUB	1.519293140778088	2.4167098322536164e-10
SNTG2	2.0249685120634715	2.452400060803939e-10
TULP4	-0.5836755673744328	2.6506762340616773e-10
MDGA2	0.9552312851446061	2.746776694984021e-10
MAP7	0.6067444008096505	2.750551564290049e-10
CSMD1	-0.9725976858670481	2.9320110783714884e-10
CYP21A2	1.1865800173131118	2.968597367924986e-10
CYP21A1P	1.1865800173131118	2.968597367924986e-10
LOC101927960	1.0888259660972412	3.272029314160818e-10
HS3ST4	1.8959450347834215	3.5498978201431444e-10
TCERG1L	-0.7428829598636009	3.722159913621681e-10
GRIA4	1.3187917468405215	3.7772292516002896e-10
NALCN-AS1	0.43595564453051555	3.89175397463859e-10
PCDH15	3.0834063628918464	4.039260315114035e-10
DLGAP2-AS1	-0.6463434811110991	4.518426799382525e-10
DLGAP2	-0.6463434811110991	4.518426799382525e-10
IL1RAPL1	-0.9722053497336621	4.709282019899064e-10
MIR3681HG	0.8434436763125682	4.929846142420758e-10
KLHL1	0.9280276819209691	4.966784816762271e-10
FAM74A1	0.9805905187157905	4.969080091843381e-10
FAM74A6	0.9805905187157905	4.969080091843381e-10
LINGO2	1.063295583036047	5.708243711044503e-10
RSF1	-0.6086557563795156	5.84448250906533e-10
S100A7	-0.9914485348111465	5.886591714077128e-10
ZDHHC9	1.6918328908047409	6.400964036590296e-10
ZP3	-1.0745209940281135	6.780147554508176e-10
ARMC4	-1.2543981283316443	7.00242897000436e-10
LRRTM4	1.306918469935945	7.082137098990415e-10
KCNU1	1.3529026209255135	7.514586619628006e-10
GALNTL6	0.7272128669285847	7.680958091782486e-10
PCDH11X	0.8742260813662439	7.881207908511101e-10
LOC101927314	-0.9266535535555277	8.085674130242638e-10
CBWD2	0.9467495369179276	8.423526931533588e-10
LOC105370473	1.2773473985316344	8.795578876341637e-10
ASZ1	-1.327846864960085	9.289947866530924e-10
CLVS1	-0.960105321048945	9.39141359124207e-10
FREM2	-1.3939296761237012	9.577617532396944e-10
SLC12A5	-1.023973890496454	9.936900635665325e-10
GRM8	-1.0650630914227444	9.952338730911948e-10
LOC101928894	-0.7958778939125097	1.0021630414414063e-09
KCNH8	1.0772781281799948	1.0724393928462917e-09
LINC01205	-1.2831387293548355	1.1386614484631964e-09
DAB2IP	0.8536883770279615	1.1574545266679338e-09
CACNG2	0.7480774186114799	1.2782640057551477e-09
SELP	-1.1504045994568777	1.371455432552793e-09
LINC01249	-0.9766317442273321	1.4139524939782435e-09
NRG1	0.9269442476728942	1.4339226306336885e-09
MEI4	1.4854286031239008	1.7415551167854205e-09
OR8G1	-1.5519177669429172	1.803380300646751e-09
NCOR1P1	-1.501683786127343	1.8290601366821592e-09
PDCD6IPP2	-0.7499296283163965	1.9425431041497632e-09
CNN2	-0.6838210486191567	2.0247431564701658e-09
FAM65C	-0.667159995189293	2.162909046310446e-09
MAOA	-0.9103422163208691	2.48296453397856e-09
SGCZ	-1.5913623963062362	2.4857802372046936e-09
PITX2	1.4803576602191566	2.4967007017373536e-09
STAB2	0.7122906957110461	2.587751413152262e-09
DMKN	0.8482107747154464	2.9345331997721047e-09
CMKLR1	-0.8707925131420425	2.956294437028717e-09
DMD	-0.9416541853696787	2.9925145139664266e-09
PAX8-AS1	0.5509553008826744	3.0011419904774075e-09
PAX8	0.5509553008826744	3.0011419904774075e-09
LOC339166	-1.3204849125128932	3.316109276063628e-09
ATP1A1	-0.5132801212821687	3.370450757378407e-09
ATP1A1-AS1	-0.5132801212821687	3.370450757378407e-09
RGS6	-0.7976121432162597	3.4189064468392873e-09
VPS13B	-0.6279859393639968	3.5145679422310394e-09
NLGN4X	-1.3824357827250424	3.6033310168992475e-09
DACH2	0.9721945380121669	3.872458453901828e-09
FREM1	-0.8894277774259822	4.132291087088902e-09
APLN	-1.092332411167308	4.1815242324272365e-09
GRID2	0.958940594397446	4.2307844339006804e-09
TEX11	1.4566369121988616	4.249550072943364e-09
MITF	0.7372082270676084	4.272456100018473e-09
PPM1L	1.0242872108022627	4.2853405157750045e-09
FAM223A	1.3171598765172872	4.394992114686858e-09
FAM223B	1.3171598765172872	4.394992114686858e-09
SLX4IP	1.1750371934636443	4.53160492464022e-09
KIAA1671	1.6171754297597922	4.547179055514051e-09
AKAP6	0.628717511387491	4.647759199727375e-09
NXPH1	-1.450646149257639	4.684010440625386e-09
MBTPS1	0.9329100432753002	4.715316215264665e-09
LOC100996251	-2.670628495823508	4.889656879392135e-09
TAF7L	-0.9843829459901013	5.010288273155084e-09
PDE4D	-1.226531142613757	5.333590025191626e-09
COX7B2	1.0037565527210495	5.354967530513122e-09
DLGAP1	1.0136290753395016	5.722412677044986e-09
WDPCP	-0.8800069198250489	6.029757110281864e-09
CTNNA2	-1.1414664710158244	6.082800524387366e-09
OPRM1	-1.3144005662714635	6.186679823994013e-09
FBLN2	-0.8360199456986281	6.595986307145197e-09
CCDC102B	1.3008658052531024	6.813454339615888e-09
DYM	-0.6795354242259903	6.818287162646542e-09
KSR2	1.043320820042235	6.895039911247736e-09
HTR4	-0.7955236800844834	6.914593875251285e-09
CNTNAP2	-0.6129150226508338	7.0001677954234516e-09
LINC01239	1.4891414175588698	7.118496464508795e-09
LOC440896	-0.9302428803051268	7.150618142048871e-09
DIAPH3-AS1	-0.5564509533218736	7.169667431972116e-09
DIAPH3	-0.5564509533218736	7.169667431972116e-09
TLX1NB	1.4482712880118838	7.175212274335153e-09
RANBP17	-1.1028317788468713	7.339055529964611e-09
RYR2	1.1934793971187627	7.4088559509633006e-09
LINC00951	-0.9332156771935536	7.477422464541305e-09
TMEM150A	-0.7824666758622423	7.544190477881686e-09
SLU7	-1.2649288846993056	7.55781109917919e-09
PLGLB1	-1.2627019019032293	7.650917083212861e-09
PLGLB2	-1.2627019019032293	7.650917083212861e-09
PTPRD	1.5037667121176086	7.767023119109596e-09
TEX28	1.1892889230541428	8.126216122228413e-09
LRP2	1.183786210010945	8.65195471932978e-09
SKI	0.7303711905708713	9.527701100298103e-09
DLEU1	-0.8400826470819872	9.612436463468656e-09
ZNF714	-1.5351809069593951	9.635408237951282e-09
DDR2	1.1577188076490728	9.778844817232013e-09
IL1RAPL2	-1.0014958507101996	9.870144096479906e-09
AGBL4	1.7661402185547677	1.093526720841176e-08
FRMPD2	1.6080839491661827	1.1621809220541125e-08
ADAMTS7P1	-0.8953120467373052	1.2016919737067866e-08
GOLGA6L10	-0.8953120467373052	1.2016919737067866e-08
GOLGA6L17P	-0.8953120467373052	1.2016919737067866e-08
GOLGA6L9	-0.8953120467373052	1.2016919737067866e-08
FAM227B	0.6940490623039719	1.2106207292195138e-08
CMTM6	-1.0646597722714426	1.2187052184087222e-08
KMT2C	-0.9448475806088724	1.2547183719791023e-08
TMEM132D	1.1372079072998	1.255473873751356e-08
LY9	-0.841915116967855	1.2915763830667616e-08
PTCHD1-AS	-1.1841110169280342	1.3089879408179074e-08
PLD1	0.8068231504738406	1.32300690347531e-08
MSR1	0.8287255622816683	1.3706073392905084e-08
KRT33A	0.6863460632762122	1.4373703893788559e-08
ICA1	-2.340350618638872	1.4815672960688531e-08
LRP1B	1.337990889976468	1.5247844564747483e-08
PCLO	-1.5343028394866318	1.531854279535061e-08
TEX264	-1.3816400353331428	1.5417123599981155e-08
PTPRZ1	-0.8009396711027221	1.5450745116663e-08
COL22A1	-1.1922773407627736	1.639130147168544e-08
CCSER1	0.6839957204234761	1.64584911588328e-08
HPSE2	-1.0046422991665462	1.6894675791689908e-08
CALD1	-0.8829362278312112	1.6997579960209565e-08
LOC101929721	-0.9982739560326326	1.7435550186961635e-08
DLG3	0.8853406598326361	1.7596059531665988e-08
DGKB	-1.4816112259653864	1.771150129892263e-08
PLD5	1.9179513048525718	1.8069517204732933e-08
SLCO1A2	1.4215298149554156	1.8807841040136e-08
ANXA2	1.3223328405625945	1.8931318751524984e-08
LOC101929555	-1.0019048694256965	1.8994168260455526e-08
OLFM3	1.4096475337288554	1.8996740203114373e-08
LINC01470	-0.7939597004967056	2.046134611743966e-08
SH3GL3	-1.0404892089468305	2.0544731466065615e-08
NREP-AS1	-1.104605555604136	2.0775652770366194e-08
RSPH14	1.0429458987244202	2.0827875729656498e-08
MPP4	0.6711630344632467	2.1036034958399342e-08
LINC01098	1.425488747770691	2.1416216278158374e-08
LINC01099	1.425488747770691	2.1416216278158374e-08
LOC101928730	-1.3972751437184683	2.221347242814531e-08
DNER	0.7292524283503036	2.2881973327226748e-08
LINC01160	-0.6804807582436838	2.3883833227822396e-08
MALRD1	0.7473425296267	2.4335386217266833e-08
LOC100506207	1.1027625494627804	2.4604047005327703e-08
ELP4	-1.0872657897677684	2.5124849878377378e-08
PARK2	1.0811007910089225	2.5124911995355606e-08
CASK	-0.5618709205400151	2.520925664883933e-08
KMT2A	-0.6728256412299282	2.6011700193784296e-08
PRKCQ	0.7186725952238607	2.6027066418743416e-08
ANKRD30BP2	-1.1473899834018535	2.6375826378544078e-08
THSD7B	-0.6267156850622692	2.7030913013481596e-08
KY	-1.6252768956921897	2.7237014560421713e-08
PEX5L	-0.9656947019298099	2.735538240372648e-08
LINC00894	1.101711717085933	2.8006295049731734e-08
CDAN1	0.730116111632159	2.8668380686047713e-08
ATXN7	-1.6170288852048458	2.886224438891638e-08
MAGT1	1.2228791933938563	2.886272849056404e-08
GALNT13	-1.7019976088000062	2.903514533802998e-08
RGS21	1.7678062732615496	2.9418415214976792e-08
SMPX	0.8464729553166674	2.9793769451558205e-08
KDELR2	-1.1576062584903906	3.013592706491153e-08
LINC01317	-0.7380137859912044	3.0839760728484936e-08
LRRC4C	-3.3231944252148304	3.1408839051838554e-08
ESRRG	-0.5931664202123133	3.153996191995745e-08
FGGY	0.8840741977568586	3.4941016274769865e-08
CACNG3	-1.147125063883139	3.4988535274615987e-08
NOX4	-0.8569827830704027	3.523804972260791e-08
MIR450A1	0.7874269547707472	3.548806286057804e-08
MIR450A2	0.7874269547707472	3.548806286057804e-08
ARHGAP6	-0.9292319268144281	3.5505027295990037e-08
RBFOX1	-1.0271463101149345	3.573583486349286e-08
TRPM6	-0.9262712433824011	3.610682973165247e-08
TSPAN7	1.45089137769927	3.6626279537044226e-08
DNAI1	-0.4901159149690626	3.671288918427607e-08
SOX5	1.3875802268152482	3.748229481237431e-08
PKHD1	0.7829956107513991	3.9002850166225405e-08
SHISA9	-1.131689217079114	3.939759386506481e-08
GPR158	-1.1887346672169004	3.983483140568289e-08
METTL15	0.9085299759164728	4.041430162193827e-08
MAPKAP1	-1.0144149783692389	4.155994990928669e-08
PHACTR2	-1.4164032850371284	4.186650029436301e-08
SHROOM4	0.8617201814978154	4.191493941929636e-08
NRG3	-1.5714968044468964	4.291109935161686e-08
DEFB104A	0.5880839279413954	4.345219061785422e-08
DEFB104B	0.5880839279413954	4.345219061785422e-08
CYP4F12	2.580360346818355	4.36945198967198e-08
TAB3	0.698573559887115	4.4454134928706424e-08
UBE2W	0.8441197999006478	4.507256821661976e-08
MYBL2	0.97610552193589	4.5150179567299276e-08
ANKS1B	1.6488523946714428	4.6076556620144876e-08
LOC101929645	-2.274520378419271	4.7345961484701604e-08
ROS1	-0.9264371056457598	4.814924013385458e-08
GOLGA6L22	-1.0034506636900928	4.889845992006592e-08
FBXO33	-0.8329080266385485	4.936043606074137e-08
PPP1R36	-0.7961175817536272	4.979121175363588e-08
LUZP2	0.6984588561904335	5.12005942143734e-08
GABRG1	-0.9360343179402415	5.139977253265649e-08
PCP4L1	1.1602066811745464	5.248986730266303e-08
GRM2	-0.8850578938116203	5.289804008157262e-08
SNTG1	1.108114569285123	5.4475429500655537e-08
CNTN5	-2.3341380961300007	5.5774363239002867e-08
HDX	-1.0452346169956084	5.589984755083322e-08
LOC102467080	-1.3503889913866887	5.754626141718511e-08
LOC101928437	-1.0007127695437954	5.819076318580585e-08
CERS3-AS1	-0.7833376678717368	5.8814233222515004e-08
SCN1A	-0.9547946824985948	6.138703189662032e-08
LOC101929680	-0.9547946824985948	6.138703189662032e-08
EYS	1.1279508116361312	6.171895463591426e-08
GLT1D1	-0.9058655347889909	6.179104733439189e-08
VSTM2B	-0.9391767850312223	6.257844420987092e-08
PCDH7	0.8852363441598566	6.41022683545156e-08
PLPP3	-2.2262795917892593	6.5435248525203e-08
ADAMTS16	-0.7482236457651134	6.562418527478187e-08
LOC101926941	-0.731424228407906	6.597149657117107e-08
IGSF11	-1.0512287529801088	6.636187095954149e-08
NXPH2	-0.9936186963947414	6.65246443209977e-08
ANOS1	1.3368670634081645	6.736138452589913e-08
ADAMTS19	1.4230155995105533	6.803303579383525e-08
CSF2RB	1.1269665825503994	6.806655101776471e-08
PLXNA2	-0.5558914934773579	6.868070140941818e-08
LVCAT5	0.7119417925503068	6.915457925193991e-08
KCND2	-0.8501659792090445	6.957753294623003e-08
TRAF3IP2-AS1	0.6127498407753648	7.14986794547734e-08
CDC27	0.5502587425920109	7.150512618125937e-08
KCNC2	1.896559017172765	7.25216884933655e-08
GRID1	0.838881168351099	7.310941258498183e-08
ANKRD18DP	1.1515334410819076	7.361312862608217e-08
LURAP1	0.7329381870742357	7.390135742801896e-08
POMGNT1	0.7329381870742357	7.390135742801896e-08
LINC01572	0.9697776217861167	7.417412695165382e-08
PRR16	-0.9239097668601384	7.421382938188615e-08
KCNT1	0.8857802653891632	7.424059020877395e-08
TBC1D7-LOC100130357	0.9288591254175909	7.443809432183813e-08
TBC1D7	0.9288591254175909	7.443809432183813e-08
TP63	0.9138990535731638	7.449581247986893e-08
RALYL	0.9677404547342141	7.484854347428183e-08
CHN2	-0.602508299772262	7.721747529165769e-08
POM121L10P	0.81415176709237	7.926011825754032e-08
BCRP3	0.81415176709237	7.926011825754032e-08
MIR924HG	-1.6131331645074267	8.054002912927239e-08
TMTC1	0.6392770164364507	8.059304732466189e-08
PAK5	-1.8942598237194714	8.242637813404841e-08
ZBTB7C	-0.8605635062293449	8.344885956135252e-08
CADM2	1.586771521743295	8.495172216238523e-08
LHCGR	0.8162665283632637	8.53198797445831e-08
STON1-GTF2A1L	0.8162665283632637	8.53198797445831e-08
SYP-AS1	1.89434344264002	8.73581912974597e-08
SYP	1.89434344264002	8.73581912974597e-08
ALOX12P2	1.498142172097599	8.778022526634288e-08
EPHA6	-1.0099084859584495	8.985988762533204e-08
MCTP2	0.9188564109930488	9.088517461952606e-08
LOC339529	0.5003499211355029	9.187927618170555e-08
CCDC178	-1.2700369925070911	9.224849949474035e-08
CDH18	-0.770179634157746	9.324894082451963e-08
SLCO5A1	-0.6665677606465593	9.445725431822539e-08
LOC101929497	0.7679126809549179	9.563729380657193e-08
CLSTN3	-0.661083895761525	9.680651588128698e-08
SYCP2L	-0.7200404591160278	9.693091456708381e-08
GPC4	-0.6880141507128434	1.0016246859700928e-07
ASIC2	1.1362556524302487	1.0055829328114997e-07
SDHAF3	-0.4808162052594335	1.0082141487788299e-07
CERKL	-0.7803103893736654	1.0122535807899347e-07
TYW3	-1.0228335857288173	1.0142431692838905e-07
KCND3	-1.0308408025504099	1.0223230503814129e-07
LHFPL3	-1.4415886422484712	1.0366643845016733e-07
C5orf60	0.7555261477345145	1.0376373072995549e-07
DNAH14	0.7062159194268699	1.039434108673909e-07
NCKAP5	-0.6580097061608957	1.0840596932903957e-07
ADCY1	1.0153387114429424	1.0876153261896172e-07
HDAC9	-0.9386346957060288	1.0923793583583752e-07
PIK3C2B	-1.3602872313640912	1.1111268937713526e-07
KHDRBS2	0.9154466917911583	1.1147857199023115e-07
LOC105369691	-1.2471473358925877	1.1156050064298206e-07
TAS2R1	1.2189598795942895	1.1308936328502384e-07
APBA1	-0.9844558162179361	1.1331714302453833e-07
GLRA3	-1.1740069497124703	1.151365998819376e-07
C3orf20	-1.0326753842985157	1.1672162635312234e-07
NPFFR2	-1.5502889143082712	1.1862441620658082e-07
GPC6	-0.6283586831434238	1.1878920508356927e-07
HS6ST3	-0.8669867621550467	1.1879343468912397e-07
GAS7	1.1266911760655933	1.191609243111902e-07
TEKT5	-0.8958986507416933	1.199861663803148e-07
CHODL	1.0884832015340669	1.203559579443514e-07
SPOCK3	0.9254208557620962	1.2101125645980204e-07
NAA60	0.9646686346434374	1.22513398825852e-07
EPHA3	-0.9023437130806351	1.2436934797022127e-07
SLC27A2	-1.0781876024670385	1.274980472865117e-07
TMEM163	-0.7770873407457553	1.2762168832280985e-07
CABLES1	-1.4488146023161566	1.2852830881815437e-07
NRXN1	0.5308447984653726	1.312551717425059e-07
CFAP47	1.640019921505417	1.3341356789320357e-07
TBCE	0.8588589516476065	1.3405851705394768e-07
RUBCNL	-0.9158847281880882	1.3908766148262865e-07
FAM135B	1.3385542184421038	1.4071839856133473e-07
CTNNA3	-0.8508509716617219	1.408394580626471e-07
POLR3G	0.4877883244024347	1.4196173909741818e-07
EGFEM1P	-0.9780245015436049	1.4446548068369758e-07
FER	1.1567507028613357	1.4511183856757981e-07
PLCL1	1.3256131961788582	1.4561525534806386e-07
NWD2	-0.8682436440472635	1.467369194485535e-07
CTIF	-0.7161713408768129	1.5557703116342304e-07
LOC285095	0.8585963740841396	1.5727680672816826e-07
LINC01237	0.8585963740841396	1.5727680672816826e-07
RBMS3	0.8831285419091423	1.646445817404807e-07
BCR	0.8557301704927309	1.6659433154653236e-07
CCDC113	-0.9805382453220403	1.6857041501561199e-07
GUSBP2	0.6458825346363276	1.709478834599487e-07
CCDC40	-1.135533296646451	1.7187715607436262e-07
LINC01115	1.4202635186577521	1.7453474666084825e-07
LY86-AS1	0.8750750100467242	1.751550560147308e-07
TENM4	-1.7315280764564838	1.752876892968658e-07
BHLHB9	-1.4534161582632643	1.8168899539872108e-07
LOC101927967	0.715814415095145	1.8245321574128505e-07
SNURF	-0.6975501895125515	1.8435617107348535e-07
SNRPN	-0.6975501895125515	1.8435617107348535e-07
AFF3	-0.912930505328508	1.8664863447592774e-07
SRPX	0.8939834058183401	1.9021295644128244e-07
PDHX	0.49706892220853716	1.9056689721796973e-07
DNAJC5B	-0.6604060814510964	1.923620238208912e-07
PAX5	-1.4274327655802748	1.9266773353399104e-07
LINC01508	-0.9289491539793503	1.955185170099405e-07
NTM	-0.7315851821410211	1.9622573191879768e-07
TPR	0.8943816891450385	1.9797957851452887e-07
KIAA2022	1.3064224612093267	1.9841097272377263e-07
HHIP	0.7044299284451947	1.9938302546762544e-07
KPNA5	1.3104640670033978	2.0169538963998868e-07
LOC102724392	-0.851813434071198	2.0188587590563856e-07
MYO16	-1.0732762149306139	2.038282493788124e-07
UGT2B4	0.7988471484654822	2.051130220281916e-07
CRYL1	-0.7594424270133411	2.064569048443321e-07
RBM44	0.9178189143899846	2.0647415170382823e-07
MYO3B	-1.0019806872823405	2.0678641901028528e-07
CPNE4	-1.15399855096154	2.082044667561789e-07
SLC26A5	1.3362699835097274	2.096490384684291e-07
SFXN2	1.6200864807915711	2.0995113759747498e-07
SKAP2	-1.2008815799784027	2.105704131727393e-07
ST8SIA5	-1.2165162081250258	2.154526555830927e-07
GPM6A	1.0622347469036384	2.1568956284356844e-07
CALN1	1.0129591216236586	2.1598020014668153e-07
RIMS2	-1.284920048085692	2.1892487324093325e-07
SYT1	1.4718507216686287	2.191174735544088e-07
CHRM3	1.1782111096751755	2.2209387535165883e-07
AGMO	1.1121312174064926	2.266484017410253e-07
LINC00645	-0.8067793959051954	2.3339870429683885e-07
HNRNPM	-0.7321911893472098	2.334862913178082e-07
SLC24A3	1.5227124548515882	2.344830569822598e-07
MAN1C1	-1.0253675204524828	2.3477085897560812e-07
LINC00558	0.6806401084348717	2.353074597671867e-07
IQCJ-SCHIP1	-0.7712271225417168	2.3575521969632086e-07
SCHIP1	-0.7712271225417168	2.3575521969632086e-07
MOSPD1	1.1350017509034014	2.3744042668694123e-07
THSD7A	-0.8654276856077595	2.3929802319133665e-07
CLCN5	0.7751332194740017	2.394745895195616e-07
CUX2	-1.1626217984468394	2.437301606761366e-07
PEX7	0.629456457881952	2.476205373580509e-07
SH3GL2	-0.9359391188946957	2.4839734579784615e-07
CDH12	0.6523172635682482	2.4881462725168114e-07
FAM74A7	0.6607015534037153	2.498525844774058e-07
PARP8	-0.840606306373316	2.529189284783406e-07
PRICKLE1	0.8867454727937959	2.533817343275402e-07
WBSCR17	-0.7735920865612916	2.5585807462702447e-07
PSMD13	1.4651768503937728	2.5640320318043307e-07
HHAT	0.6321264284729962	2.580263856244436e-07
SLC4A10	0.7661314772963843	2.5961126770557286e-07
ATP6V0A4	0.8740265576441727	2.6048202927952957e-07
SORCS1	-0.77651605496594	2.617292961193396e-07
HCN1	-0.8866739278843552	2.6450556551704806e-07
C8orf34	-0.784685405888099	2.681021824990637e-07
MARCH1	0.9856756585853662	2.7005488479892036e-07
TVP23C-CDRT4	-0.9315078079288935	2.71644716282049e-07
TVP23C	-0.9315078079288935	2.71644716282049e-07
TNR	-1.226062794424767	2.731136001021817e-07
RHOXF1-AS1	-1.031730131901475	2.7533839930260484e-07
FMN1	1.021859675728056	2.7539920886554546e-07
GPR183	-1.1502218391143793	2.780036949867615e-07
UBAC2	-1.1502218391143793	2.780036949867615e-07
LOC100420587	0.6334411127073092	2.933180368869248e-07
CNTN4	-1.1184815794572482	2.9368483279168525e-07
DISC1FP1	0.5167725039969084	2.9497128393729537e-07
FIRRE	-1.7105419345129333	2.9633300061560066e-07
FMO6P	-1.8926251725962375	2.9739912459914034e-07
HTR2C	0.7909250941904669	2.9778370881361486e-07
POTEJ	-1.3489698796964442	3.018962810574788e-07
MYT1L	0.6599690516377755	3.057973351150434e-07
LINC01266	-1.0241204751624469	3.0912369249902486e-07
PAPSS1	0.4223378084285837	3.0930918896721064e-07
PCDH9	-0.7191422677070183	3.144377552610767e-07
OSBP2	-0.5016442476354233	3.187385007263899e-07
CLUHP3	0.5127802151703279	3.195173079728608e-07
DEC1	0.6835074678222308	3.309845251375787e-07
